index, link, unique/unsupported/fetched
21,https://gitlab.com/colloq168/nodefiltrate/-/raw/main/netflix?ref_type=heads,0/0/11
22,https://gitlab.com/colloq168/nodefiltrate/-/raw/main/openai?ref_type=heads,0/0/16
23,https://gitlab.com/colloq168/nodefiltrate/-/raw/main/youtube?ref_type=heads,0/0/9
24,https://free.datiya.com/uploads/%Y%m%d-clash.yaml,0/0/0
25,https://raw.githubusercontent.com/lagzian/SS-Collector/main/ss_clash.yaml,6/0/170
26,https://raw.githubusercontent.com/lagzian/SS-Collector/main/vmess_clash.yaml,7/0/23
27,https://raw.githubusercontent.com/lagzian/SS-Collector/main/reality_clash.yaml,47/0/53
28,https://raw.githubusercontent.com/lagzian/SS-Collector/main/vmess_tvc_clash.yaml,19/0/25
29,https://raw.githubusercontent.com/lagzian/SS-Collector/main/backup_clash.yaml,75/15/90
30,https://raw.githubusercontent.com/MrMohebi/xray-proxy-grabber-telegram/master/collected-proxies/clash-meta/actives_under_1000ms.yaml,96/2/159
31,https://raw.githubusercontent.com/MrMohebi/xray-proxy-grabber-telegram/master/collected-proxies/clash-meta/actives_under_1500ms.yaml,0/0/165
32,https://raw.githubusercontent.com/qianlima8888/autoClashProxy/refs/heads/main/list.yaml,0/0/18
33,https://raw.githubusercontent.com/lagzian/SS-Collector/main/VLESS/VL100.txt,92/0/100
34,https://raw.githubusercontent.com/aiboboxx/v2rayfree/main/v2,0/0/0
35,https://raw.githubusercontent.com/Mahdi0024/ProxyCollector/master/sub/proxies.txt,30/0/303
36,https://raw.githubusercontent.com/mksshare/mksshare.github.io/main/README.md,0/0/0
37,https://raw.githubusercontent.com/mkshare3/mkshare3.github.io/main/README.md,0/0/0
38,https://raw.githubusercontent.com/abshare/abshare.github.io/main/README.md,0/0/0
39,https://raw.githubusercontent.com/toshare5/toshare5.github.io/main/README.md,0/0/0
40,https://raw.githubusercontent.com/awesome-vpn/awesome-vpn/master/all,14/0/28
41,https://raw.githubusercontent.com/Pawdroid/Free-servers/main/sub,6/0/17
42,https://raw.githubusercontent.com/roosterkid/openproxylist/main/V2RAY_RAW.txt,51/2/150
43,https://raw.githubusercontent.com/Space-00/V2ray-configs/main/config.txt,0/0/0
44,https://raw.githubusercontent.com/Surfboardv2ray/TGParse/main/python/hysteria2,35/0/40
45,https://raw.githubusercontent.com/Surfboardv2ray/TGParse/main/python/ss,146/10/507
46,https://raw.githubusercontent.com/Surfboardv2ray/TGParse/main/python/trojan,137/3/190
47,https://raw.githubusercontent.com/Surfboardv2ray/TGParse/main/python/vless,157/4/199
48,https://raw.githubusercontent.com/Surfboardv2ray/TGParse/main/python/vmess,170/9/247
49,https://raw.githubusercontent.com/Leon406/SubCrawler/main/sub/share/vless,197/0/199
50,https://raw.githubusercontent.com/mfuu/v2ray/master/merge/merge_base64.txt,14/0/367
51,https://raw.githubusercontent.com/Flik6/getNode/main/v2ray.txt,18/0/26
52,https://raw.githubusercontent.com/Leon406/SubCrawler/main/sub/share/hysteria2,2/0/3
53,https://raw.githubusercontent.com/Leon406/SubCrawler/main/sub/share/a11,23/0/199
54,https://raw.githubusercontent.com/soroushmirzaei/telegram-configs-collector/main/splitted/mixed,34/2/199
55,https://t.me/s/PrivateVPNs,0/0/126
56,https://t.me/s/VlessConfig,0/0/126
57,https://t.me/s/proxystore11,0/0/66
58,https://t.me/s/DirectVPN,0/0/126
59,https://t.me/s/VmessProtocol,18/0/345
60,https://t.me/s/MsV2ray,1/0/7
61,https://t.me/s/DailyV2RY,350/0/2870
62,https://t.me/s/yaney_01,32/1/234
63,https://t.me/s/FreakConfig,18/0/203
64,https://t.me/s/ServerNett,0/6/96
65,https://t.me/s/proxystore11,0/0/66
66,https://t.me/s/custom_14,11/0/68
67,https://t.me/s/FreeVlessVpn,1/0/70
68,https://t.me/s/freeland8,0/0/0
69,https://t.me/s/V2rayNG3,54/0/1064

Total,,5211/56/13208
